SM_Exgauster\[0:0],Подшипник 1,Вибрация,Горизонтальная,vibration_horizontal,Горизонтал вибрация подшипника №1. Эксгаустер №3,analog,1.394675970077515
SM_Exgauster\[0:1],Подшипник 1,Вибрация,Вертикальная,vibration_vertical,Вертикал вибрация подшипника №1. Эксгаустер №3,analog,1.417824029922485
SM_Exgauster\[0:2],Подшипник 1,Вибрация,Осевая,vibration_axial,Осевая вибрация подшипника №1. Эксгаустер №3,analog,0.8616214990615845
SM_Exgauster\[0:3],Подшипник 2,Вибрация,Горизонтальная,vibration_horizontal,Горизонтал вибрация подшипника №2. Эксгаустер №3,analog,1.979166746139526
SM_Exgauster\[0:4],Подшипник 2,Вибрация,Вертикальная,vibration_vertical,Вертикал вибрация подшипника №2. Эксгаустер №3,analog,2.025463104248047
SM_Exgauster\[0:5],Подшипник 2,Вибрация,Осевая,vibration_axial,Осевая вибрация подшипника №2. Эксгаустер №3,analog,1.342592477798462
SM_Exgauster\[0:6],Подшипник 7,Вибрация,Горизонтальная,vibration_horizontal,Горизонтал вибрация подшипника №7. Эксгаустер №3,analog,1.995205640792847
SM_Exgauster\[0:7],Подшипник 7,Вибрация,Вертикальная,vibration_vertical,Вертикал вибрация подшипника №7. Эксгаустер №3,analog,1.846064805984497
SM_Exgauster\[0:8],Подшипник 7,Вибрация,Осевая,vibration_axial,Осевая вибрация подшипника №7. Эксгаустер №3,analog,1.746512293815613
SM_Exgauster\[0:9],Подшипник 8,Вибрация,Горизонтальная,vibration_horizontal,Горизонтал вибрация подшипника №8. Эксгаустер №3,analog,1.603009223937988
SM_Exgauster\[0:10],Подшипник 8,Вибрация,Вертикальная,vibration_vertical,Вертикал вибрация подшипника №8. Эксгаустер №3,analog,2.239583253860474
SM_Exgauster\[0:11],Подшипник 8,Вибрация,Осевая,vibration_axial,Осевая вибрация подшипника №8. Эксгаустер №3,analog,1.047453761100769
SM_Exgauster\[0:12],Подшипник 1,Вибрация,Горизонтальная,vibration_horizontal,Горизонтал вибрация подшипника №1. Эксгаустер №4,analog,1.799768447875977
SM_Exgauster\[0:13],Подшипник 1,Вибрация,Вертикальная,vibration_vertical,Вертикал вибрация подшипника №1. Эксгаустер №4,analog,1.759259223937988
SM_Exgauster\[0:14],Подшипник 1,Вибрация,Осевая,vibration_axial,Осевая вибрация подшипника №1. Эксгаустер №4,analog,0.5497685074806213
SM_Exgauster\[0:15],Подшипник 2,Вибрация,Горизонтальная,vibration_horizontal,Горизонтал вибрация подшипника №2. Эксгаустер №4,analog,1.568287014961243
SM_Exgauster\[0:16],Подшипник 2,Вибрация,Вертикальная,vibration_vertical,Вертикал вибрация подшипника №2. Эксгаустер №4,analog,2.262731552124023
